Reducer,n_components,Information_retention,Class_separation
PCA,10,0.9727981090545654,0.006524226625447935
PCA,15,0.9937825798988342,0.006387132631661304
PCA,20,0.998562753200531,0.006358785556205079
LDA,1,1.0,0.01892132206140319
t-SNE,2,0.0,0.01488613969302345
